Dialogue;Mood;Sport;Glucose;Glucose_binary;Insulin;Insulin_dose;Bad_food;Remedies_low_glucose_level;Remedies_high_glucose_level;Glucose_checks;Symptoms_low_blood_sugar;Symptoms_high_blood_sugar;Risk_situation;Good_food;All_together;;;;;;;;;;;
Hey ! What's up ? I am very happy , I am getting married next week . Oh! Congratulations ! And how are you feeling ? Great , I am a little nerveous though , I am eating a lot of sweets these days . That is not good for you … Have you checked your glucose levels ? No , should I ? Yes, you must . It is important to control your glucose levels . I am a little high . You should increase your insulin levels according to the amount of sugar that you took. Ok . I will. I have to go . Ok, enjoy your day .;I am very happy;;I am a little high;high;;;;;increase your insulin levels according to the amount of sugar that you took;;;;eating a lot of sweets these days;;;;;;;;;;;;;
hI ! I need your help . I don't know what to do . I always have my glucose levels high before my menstruation . Oh … I am sorry to hear … I think you should talk to your doctor for adjustate the insulin dose during those days . Ok , I think that is the best option since I am not able to control it alone . Thanks for your advise . Anytime . Bye . ;;;my glucose levels high;high;;talk to your doctor for adjustate the insulin dose during those days;;;talk to your doctor for adjustate the insulin dose during those days;;;;menstruation;;;;;;;;;;;;;
Hello . How are you ? I am not feeling well . What do you have ? I have general malaise and even I feel nausea . When has it started ? I ate a lot during lunch . There was a lot of food and I was very hungry … Maybe your glucose levels are high . Yes, they are high . Did you inject an extra dose of insulin . Not yet . Okay , maybe you should . Thanks for listening to me . No problem .;I am not feeling well;;they are high;high;;;;;inject an extra dose of insulin;;; have general malaise and even I feel nausea; ate a lot during lunch;;;;;;;;;;;;;
Hi . Can I ask you a question ? Yes , of course . I don't feel okay . I have a metallic taste in the mouth and my levels of glucose are high . Are both things related ? Yes , I think so . It is a symptome of a spike of blood sugar . What should I do ? You should inject more insulin . Ok , thank you . You are welcome . Good night . Bye .;I don't feel okay;;my levels of glucose are high;high;;;;;inject more insulin;;;I have a metallic taste in the mouth ;;;;;;;;;;;;;;
Hey . Hi ! How are you doing ? I feel good . It's nice to read that . I have a question for you . Of course , what is it ? Recently I have to go to the bathroom very often . I don't know if it could be a symptom of a blood sugar alteration . It could be , yes . I recommend you take a blood sugar test . Ok , I will go right now . Tell me the results . I have a high blood sugar . What should I do ? Go talk to your doctor immediatly . Ok , thanks . ;I feel good;;I have a high blood sugar;high;;;;;Go talk to your doctor immediatly;;;I have to go to the bathroom very often;;;;;;;;;;;;;;
Hello . Oh ! It's nice to talk to you again, how are you ? I am great , thanks . Did you control your blood sugar ? I don't think so . I urinate more often these past days . Did you check your glucose level ? Yes , I am high . Oh , ok . Try going for a walk and maybe you will control it . Ok , thanks .;i am great;walk;I am high;high;;;;;going for a walk;;;I urinate more often these past days;;;;;;;;;;;;;;
Good morning . I don't feel okay . What do you have ? My stomach is very bloated . Did you check your glucose levels ? Yes , I am a little high . Have you drink some water ? Yes , I did . I think it will help . What was the last food you ate ? It was a fatty lunch , I ate some burguers with fried potatoes . Oh ! You should also correct the intake of the following meal . Ok , I will . Thanks for your advise . You're welcome . ;I don't feel okay ;;I am a little high;high;;;burguers with fried potatoes;;correct the intake of the following meal;;;My stomach is very bloated;fatty lunch;;;;;;;;;;;;;
Hey ! How are you doing ? I am good ! I ate pasta for lunch , I love pasta days ! Oh ! But it could increase your blood glucose . I know , I will check my glucose levels now . Ok , tell me your results . I am a little high . Oh ! On your next meal, eat some slow-absorbing foods as lettuce or tomatoes . Ok , I will . Thanks .;I am good;;I am a little high;high;;;pasta;;eat some slow-absorbing foods as lettuce or tomatoes;;;;eat pasta;lettuce or tomatoes;;;;;;;;;;;;
Good morning . Hi ! How are you doing ? I don't feel great , I have chest pain . Did you ate ? No , I am still fasting . That is a risk situation of a glucose spike . You should eat something and it will improve . Okay , thanks . I have to go now . Ok , have a nice day . ;I don't feel great;;a glucose spike;high;;;;;You should eat something and it will improve;;;I have chest pain;I am still fasting;;;;;;;;;;;;;
Good morning . Hey, how are you doing ? I don't feel great . I have chest pain . Oh ! What did you ate last night ? I had a sandwich and a salad . Oh, that's a good dinner . Have you checked your glucose levels ? Yes , I am a little high. I always am high in the mornings . Try to eat some slow-absorbing foods for dinner . Maybe some brown rice or vegetables as spinachs or green beans . Ok . Now I will go for a walk . Yes , it will be good. Thanks . ;I don't feel great;;I am a little high;high;;;;;eat some slow-absorbing foods for dinner . Maybe some brown rice or vegetables as spinachs or green beans;;;I have chest pain;morning;sandwich and a salad , brown rice or vegetables as spinachs or green beans;;;;;;;;;;;;
Hello , I feel bad . What do you have ? I have swelling . Did you ate something bad for lunch ? No, but I think I overate . I feel bad . Have you checked your glucose levels ? Yes , I am a bit high . Okay , maybe you shoud modify your next insulin dose according to what have you ate . Yes, I will do it . Thanks . ;I feel bad;;I am a bit high;high;;;;;modify your next insulin dose according to what have you ate;;;I have swelling;overate;;;;;;;;;;;;;
Hello! How are you ? I am not fine , I have measured my glucose and I am very high . What did you ate today ? I have not had breakfast and I have had several juices . Okay … I understand why you are high . Don't worry . What do you recommend? You should inject some extra insulin . And next time you should eat something as well . Ok ! Thanks for the advice . ;I am not fine;;I am very high;high;;;juices;; inject some extra insulin . And next time you should eat something;;;;I have not had breakfast;;;;;;;;;;;;;
Good evening. How are you ? I am good . I need to ask you something . Of course, tell me . I have been doing sport for several weeks and I have changed my eating habits. I still have high glucose levels. What can I do? You should completely eliminate sugar and white flour . Also you should talk to your doctor to maybe include an additional treatment. Ok . Thank you very much for your tips . Take care . You too, bye .;I am good ;;I still have high glucose levels;high;;;;;eliminate sugar and white flour , talk to your doctor to maybe include an additional treatment;;;;;;;;;;;;;;;;;
Hello . Hi! How are you ? I am fine . I am new in this diabetic world . Oh ! I hope I can help you . Sure ! I have a question. My glucose is very high. When I finish eating I need to have fruit for dessert, which is the most recommendable? You can take raspberries and blueberries, they help to control diabetes . Oh ! Thank you . You are awesome . Thanks! Bye bye .;I am fine;;My glucose is very high;high;;;;;;;;;;raspberries and blueberries;;;;;;;;;;;;
Hi ! How are you ? I am not very well . I have a hangover . Oh ! Did you drink a lot last night ? Yes , I went to a concert with my friends and I didn't control how alcohol I drank . Oh! Have you check your blood sugar ? Not yet . Maybe you should . Alcohol increases the glucose levels . You are right ! My glucose levels are quite high . What should I do ? You have to inject an extra dose of insulin . And next time try to drink less . Yes ! I absolutely do . Thanks for the advise . I have to go . Bye .;I am not very well;;My glucose levels are quite high;high;;;alcohol;;inject an extra dose of insulin;;;;Alcohol increases the glucose levels;;;;;;;;;;;;;
Hey ! Merry Christmas ! How are you ? I am really happy . Yesterday I had dinner with all my family . Did you eat a lot ? Yes , absolutely . I eat too much . And how do you feel ? I am okay even if I have to go very often to the bathroom . Maybe you should check your glucose levels, it seems it is a little high . Oh! You are right . I am high . What do you recommend ? I think you should inject an extra dose of insulin . Ok , thanks . Have a nice day .;I am really happy;;I am high;high;;;;;inject an extra dose of insulin;;;I have to go very often to the bathroom;eat too much;;;;;;;;;;;;;
Hello , I need to talk to you . What is the matter ? I am exhausted . I can't even stand up . Have you check your glucose levels ? Yes , I am very high . Try to administrate more insulin next time . Ok . Thanks . And also take into account the amount of carbohydrates and sugars you have eaten . I will . Thanks for your advise . ;I am exhausted;;I am very high;high;;take into account the amount of carbohydrates and sugars you have eate;;;administrate more insulin next time and  take into account the amount of carbohydrates and sugars you have eate;;;I am exhausted . I can't even stand up;;;;;;;;;;;;;;
Hey ! How are you ? I am not okay . I am very tired and I think it is because my blood sugar . Why do you think that ? Yesterday I had a large dinner with my family . I think i ate too much . Oh ! Have you checked your glucose levels ? Just now . My blood sugar is high . Don't worry, try to do some exercise today . Maybe a run or a walk . Yes , I definitely will go for a run . Thanks for the tip . ;I am not okay;run or walk;my blood sugar is high;high;;;;;do some exercise today . Maybe a run or a walk;;;I am very tired and I think it is because my blood sugar; large dinner;;;;;;;;;;;;;
Hello . I don't feel good and my glucose levels are a little high . Oh ! Sorry to hear that . I think maybe you should inject some insulin before your next meal . Thanks for the tip . Anytime . Bye bye .;I don't feel good;;my glucose levels are a little high;high;;;;;inject some insulin before your next meal;;;;;;;;;;;;;;;;;
Good afternoon . Hi , how are you doing ? I am okay but I didn't take the necessary insulin and my blood sugar is high . Sorry to hear that . No problem , what do you recommend me ? I think that the best for you is going do some sport . Perfect , I have a tennis match in half an hour . That is great ! It should decrease your blood sugar . Good luck in your match . Thanks !;I am okay;tennis match;my blood sugar is high;high;;I didn't take the necessary insulin;;;going do some sport;;;;I didn't take the necessary insulin;;;;;;;;;;;;;
Good evening . I feel bad . Why is that ? I ate pasta for lunch and I took more carbohydrates than calculated . Do you have any symptoms ?  I feel thirsty . Check your glucose levels . I already did and my glucose levels are a little high . Oh !  I think you should inject insulin before your next meal . Thanks for the tip . Anytime . Bye bye .;I feel bad;;my glucose levels are a little high;high;;;pasta;;inject insulin before your next meal ;;;;more carbohydrates than calculated;;;;;;;;;;;;;
Hello . Hi! How are you ? I am sad . I am new in this diabetic world and I am scared . Oh ! I hope I can help you . Sure ! I have a question. My glucose is very high. What are the best food for control my glucose levels ? You can eat blue fish or chicken , also some vegetables as well, they help to control diabetes . Oh ! Thank you . You are awesome . Thanks! Bye bye .;I am sad;;My glucose is very high;high;;;;;;;;;;blue fish or chicken , also some vegetables;;;;;;;;;;;;
Hello . Hi! How are you doing ? I am sad . I try to have a good diet but my glucose is still very high. What should I eat usually ? You can eat blue fish or chicken , also some vegetables as cabbage or broccoli.They are good for diabetes . Oh ! Thank you for the advise . I have to go , have a nice day . Bye bye .;I am sad;;my glucose is still very high;high;;;;;;;;;;blue fish or chicken , also some vegetables as cabbage or broccoli;;;;;;;;;;;;
Hello . How are you feeling today ? I am feeling good . Great ! How are your glucose levels today ? I am a little high today . And do you have any symptoms ? No , I only go pee more often than usual . And why do you think the glucose spike happened ? Maybe it was because yesterday I took more carbohydrate intake than calculated for the insulin dose . Yes ... I am sure that was the reason . Try to correct the intake for the next meal . Ok , I will . Thanks . Have a nice day .;I am feeling good;;I am a little high today;high;;;;;correct the intake for the next meal;;;pee more often than usual;took more carbohydrate intake than calculated for the insulin dose;;;;;;;;;;;;;
Good afternoon . How are you doing ? I am not doing well right now . Why is that ? I ate a few pastries this morning and now I feel sleepy . Could it be because of my blood suger ? Yes , you should check your levels . You are right . My glucose levels are high . What should I do ? You should go for a walk . Ok , I will go right now . Perfect , be careful in case your blood sugar drops . Ok , thanks for your help . You're welcome . Bye .;I am not doing well right now;walk;My glucose levels are high;high;;;pastries;;go for a walk;;;I feel sleepy;I ate a few pastries;;;;;;;;;;;;;
Hey ! How have you been ? I have been good . Yesterday was my prom . Oh ! Congratulations . Thanks . And did you have a good time ? Yes , it was great . Well . And how do you feel ? Right now I am very tired . My glucose levels are high. I think yesterday I ate too much and I didn't recalculated my insulin dose . Oh... that is not right . Next time , you should try to take insulin before eating . Ok . I definitely would . Thank you for the tip . ;I have been good;;My glucose levels are high.;high;;;;;take insulin before eating;;;I am very tired ;I ate too much and I didn't recalculated my insulin dose ;;;;;;;;;;;;;
Hello ! Hi ! How are you ? I am good , thanks for asking . What is new ? I have my glucose levels high . I don't know how to control it . Do you do any physical activity ? Yes , I walk around the neighbourhood twice a week . Maybe it isn't enough . You should walk around 30 minutes every day . Ok , I will follow your advise . Perfect . Thank you . Have a nice day .;I am good;walk;I have my glucose levels high.;high;;;;;walk around 30 minutes every day;;;;;;;;;;;;;;;;;
Good afternoon . How are you ? I am happy . What did you do today ? I had a paddle train . Do you usually play paddle ? Yes , four times per week . That is cool . It helps control your glucose levels ? Yes ! It helps . How are your glucose levels today ? My blood sugar is ok . I am happy . Great ! Continue that way . Yes ! Talk to you later . ;I am happy;paddle;My blood sugar is ok ;ok;;;;;;;;;;;;;;;;;;;;;;
Hey , good morning . How are you doing ? I feel good . My glucose levels are normal . Good ! How did you control them ? I think it is because I started doing exercise last week . What do you do ? I hike . That is cool . Continue that way . Yes , I will . Talk to you later . ;I feel good;hike;My glucose levels are normal;normal;;;;;;;;;;;;;;;;;;;;;;
Good evening . How are you ? I am fine , thanks . How are your glucose levels ? I just checked them and my blood sugar is good . That is great . Why do you think they are okay ? Did you make any change in your lifestyle ? Yes , in the winter I go skiing three times a week . Oh ! Great . Sports always helps to diabetics . Yes . Only be careful your glucose levels don't drop . Always have a little snack with you . Yes, thanks for the tip . Bye . ;I am fine;skiing;my blood sugar is good;good;;;;;;;;;;;;;;;;;;;;;;
Hey ! Oh , it's been some time since we last spoke . How have you been ? I have been great . I am happy , I could control my glucose levels . And why is that ? I started to do some rythmic gymnastics . Oh ! Beautiful sport . Has it helped with your blood sugar ? Yes ! I haven't had nearly any glucose spike since I started . That is great . Continue that way ! Yes, I will . Thanks ! Have a nice day . ;I have been great. I am happy.;rythmic gymnastics;control my glucose levels;control;;;;;;;;;;;;;;;;;;;;;;
Hey there ! How are you ? I am scared . Why is that ? I recently got diagnosed with diabetes mellitus and I don't know much about it . Don't worry . I can help you . How are your glucose levels now ? I am a little high . Oh , I see . It is important to do some physical activity . Do you usually do exercise ? Yes , I love cycling . I ride my bike four times a week . That is good ! You should always have some sugar with you in case your glucose levels drop and you need to take some . Ok , I will. I have to go but I will talk to you later . Thanks for your advice . Anytime . Bye . ;I am scared;cycling;I am a little high;high;;;;;;;;;;;;;;;;;;;;;;
Good afternoon . How are you feeling ? I am good , thanks . How are your glucose levels ? My blood sugar is okay . Great ! How do you control it ? I started doing some exercise . I walk 1 km per day . Oh , that is great . You should try to walk each day a little more . Ok , I will . I have to go . Have a nice day .;I am good;walk 1 km per day;My blood sugar is okay;okay;;;;;;;;;;;;;;;;;;;;;;
Hey , how are you ? I am fine , thanks . How are your glucose levels ? My glucose levels are ok . Oh perfect ! Did you change anything in your life style ? Yeah , I started going to the gym . Great ! And what do you do there ? I do some strength exercises . That is cool . Do you feel better after your training ? Yes . And it helped controlling my blood sugar . Ok ! Continue that way . Yes , talk to you later . ;I am fine;strength exercises in the gym;My glucose levels are ok;ok;;;;;;;;;;;;;;;;;;;;;;
Hello . Good afternoon . How are you feeling ? I am okay , thanks for asking . How is your blood sugar ? It is good . Everything under control . Oh that is cool . How did you do it ? I walk twice a week and it seems to help control the disease . That is right , physical activity helps improve the glucose levels . Yes , your are right . I followed your advise and now I feel better . Cool . Continue that way . Yes , have a nice day .;I am okay;walk twice a week;It is good;good;;;;;;;;;;;;;;;;;;;;;;
Hi ! How are you feeling today ? I am very good . Great , I am happy to hear that . How are your glucose levels ? They are okay . I do some gymnastics now and it seems to have helped control the glucose levels . I am sure that is right . Just be careful with the glucose drops . Yes , I will always have a juice with me in case it drops . Very well . I have to go . Ok . Have a nice day . You too , bye bye .;I am very good;gymnastics;they are okay;okay;;;;;;;;;;;;;;;;;;;;;;
Good evening . Hey ! How are you ? I am not feeling great . Why is that ? It is because my glucose levels are a bit low . And why is that ? I just climbed the stairs at home and I am old , so I feel tired after . Maybe you should drink a juice to help you . Ok , I will drink it right now . Okay . Good bye , thanks for your advise . You're welcome . Until later . ;I am not feeling great;climb stairs;my glucose levels are a bit low;low;;;;drink a juice ;;;I feel tired;;;;;;;;;;;;;;;
Hello , how are you feeling ? I am very good these days . Oh ! Why is that ? My glucose levels are very good . I started to play paddle last month . Oh , it seems the physical activity helped you with your diabetes . Yes ! It definitely helped . I should have done it before . Continue that way and everything will be good !;I am very good;play paddle;My glucose levels are very good;good;;;;;;;;;;;;;;;;;;;;;;
Hey , how have you been ? I have been busy . Why ? I just finished my university degree . Congratulations ! Thanks . And how are your glucose levels ? Now , my glucose levels are okay . During my exams I couldn't control them but now they are better . And how did you control them ? I started playing paddle . Oh great ! And do you have matches ? Yes , I have one paddle match per week . That is great . I hope you win . Yes , me too . Don't forget to take the right amount of carbohydrates . Yes ! I will . Thanks . Good bye . ;I have been busy;play paddle , one paddle match per week;my glucose levels are okay;okay;;;;;;;;;;;;;;;;;;;;;;
Hello . Hi ! How are your glucose levels ? My glucose levels are okay now . That is cool . Yeah ! I am very happy . How did you do it ? I started a zumba class . Oh , great ! Do you love to dance ? Yes , it has always been my passion . Very good . Just have always some sugar with you . Okay , I will . Thanks , you always give me good tips . I have to go , talk to you later ? Of course ! See you .;I am very happy;zumba class;My glucose levels are okay now;okay;;;;;;;;;;;;;;;;;;;;;;
Hey ! How are you feeling ? Now I am not great . I feel dizzy and nauseous . Since when ? I was in zumba class and I started feeling really bad . You should check your glucose levels . Yes , I am very low right now . I am sorry to hear that . Please , take 5g of sugar , I am sure you will feel better . I can't take any sugar right now . Do you have a juice ? I can buy one here . Drink a juice , you will feel better . Ok . Thanks for your help . Anytime . Hope you feel better . Thanks . See you later .;Now I am not great;zumba class;I am very low right now;low;;;;take 5g of sugar , drink a juice;;;I feel dizzy and nauseous;;during training;;;;;;;;;;;;;
Hi there . Hello . How are you doing ? I am fine . How are your glucose levels ? My blood sugar is well . It is controlled . And how is that ? I started doing toning exercises at the gym . I suppose it helped with your blood sugar . Yes , I feel better now . That is awesome . Keep it up ! Thank you !;I am fine;toning exercises at the gym;My blood sugar is well;well;;;;;;;;;;;;;;;;;;;;;;
Hello . How are you ? I am okay , thanks for asking . What is new in your life ? I started going to the gym . And what do you do there ? I do weights . Good ! Did you feel it helped with your diabetes ? Yes , it helped a lot . Now I feel it is more controlled . That is great . Yes , I am happy about it . Talk to you later . ;I am okay;gym , do weights;;;;;;;;;;;;;;;;;;;;;;;;
Hi ! Hey , how have you been ? I am ok . Thanks . How are your glucose levels ? I am a little high . And how is that ? Usually I boxe , but I am injured now . The lack of physical activity could spike your glucose levels . Yes , I know . What should I do ? I recommend that you correct your insulin dose for taking into account the lack oh exercise . Talk to your doctor . Yes , I will. Thanks for the tip . Anytime . Talk to you later . ;I am ok;boxe;I am a little high;high;;correct your insulin dose for taking into account the lack oh exercise;;;correct your insulin dose for taking into account the lack oh exercise;;;;The lack of physical activity could spike your glucose levels;;;;;;;;;;;;;
Hello , how are you doing ? I am ok . My glucose levels are fine . That's cool ! How is that ? I started pilates last week . It seems to have helped control my diabetes . Oh , great ! I am happy for you . Thanks . I have to go now . Ok , bye . Bye .;I am ok;pilates;My glucose levels are fine;fine;;;;;;;;;;;;;;;;;;;;;;
Hi ! How are you doing ? I am okay . I just finished my crossfit class . Yes ? And how was it ? Great ! But now I feel a little dizzy . Maybe your glucose levels are a little low after your training . Check them out . You are right , my blood sugar is low . Drink a soda or eat something sweet , you'll feel better . Okay , thanks . Talk to you later . ;I am okay;crossfit class;my blood sugar is low;low;;;;Drink a soda or eat something sweet;;;I feel a little dizzy;;after your training;;;;;;;;;;;;;
Hello , how are you feeling ? I am preety good . How are your glucose levels ? They are a little high . Oh … that is not right . You shoul go for a walk , it will help you . Okay , I will . I have to go . Ok , take care . You too . ;I am preety good;walk;My glucose is okay now;okay;;;;;;;;;;;;;;;;;;;;;;
Hi . How are you ? Tired , I just came back for a run . Awesome , how are your glucose levels ? My glucose is okay now . Running always helps . Keep doing it . Yes ! Of course . I should go . Ok , bye .;tired;run;My glucose is okay now;okay;;;;;;;;;;;;;;;;;;;;;;
Hello , I can't sleep . Sorry to hear that . Did you check your glucose levels ? Yes , I am pretty low . Drink water sugar . It definitely will help you .Thanks for the tip . Good night . Bye . ;;;I am pretty low;low;;;;Drink water sugar;;;I can't sleep;;;;;;;;;;;;;;;
Hey there ! How have you been ? I have been great . I was at a party last night and it was fun . Oh ! Great ! Did you eat anything ? Yes , I eat a hamburger and french fries . Also a piece of cake . That is not right . Did you inject your insulin ? Yes , before going to beed . And how are your glucose levels now ? I am a little high . But not much . I think it should improve with some physical activity . Ok ! I will go now . Thanks for your help . ;I have been great;;I am a little high;high;inject your insulin;;hamburger and french fries , cake;;physical activity;;;;;;;;;;;;;;;;;
Hello . I need help . I just drank a pineapple juice because I was a little low and now I feel worse . What do you have ? I am dizzy and very thirsty . I think your blood glucose might be high . Check it , if you can . You are right . I am very high . You should inject some fast action insulin . Okay , I will . Thanks for your help . You're welcome . ;I feel worse;;I am very high;high;;;;;inject some fast action insulin;;;;;;;;;;;;;;;;;
Hi ! I need your help . My legs are trembling and I feel very dizzy , I cannot walk . Those are symptoms of a blood sugar drop . Can you check your glucose levels ? I just did and I am very low . Don't worry . Eat some sugar or carbohydrates and you will feel better . Thank you ! I will do it now .;;;I am very low;low;;;;Eat some sugar or carbohydrates;;;My legs are trembling and I feel very dizzy , I cannot walk;;;;;;;;;;;;;;;
Hey , how are you doing ? I am good . And how are your glucose levels ? I am a bit high . You should go for a walk . It will help you . Right now I can't go outside . Then you should inject an extra insulin dose . Ok , I will . Thanks for your tip . See you later ! Thanks .;I am good;;I am a bit high;high;;;;;;;;;;;;;;;;;;;;;;
Hey there . Good morning ! How are you ? I am a little sleepy , even if I just wake up after an 9 hours sleep . Did you eat anything yet ? Not yet . Did you check your glucose levels ? Right now . I am high . That explain your sleep . Go for a walk . It will help . Thank you , you always have the right answer .;;walk;I am high;high;;;;;Go for a walk;;;I am a little sleepy;;;;;;;;;;;;;;
Hi , I don't feel well . What is happening to you ? I have shaky hands and I cannot concentrate . That seems a glucose drop . You should check your glucose levels . You are right . I am a low . You should definitely drink a juice or eat some candy .;I don't feel well;;I am low;low;;;;I have shaky hands and I cannot concentrate;;;;;;;;;;;;;;;;;;
Hello , hi ! How are you doing ? I am alright . And how are you're glucose levels ? My glucose is okay . Did you ate something recently ? Yes , I just ate some nuts . Oh ! Good and healthy snack . Yes , it doesn't spike my glucose levels . Talk to you later . Bye .;I am alright;;My glucose is okay;okay;;;;;;;;;;nuts;;;;;;;;;;;;
Hey , how are you doing ? I am fine but I am hungry ! How are your glucose levels ? My blood sugar is okay . Do you need some snacking ideas ? Yes , please ! You should do some oatmeal cookies . You'll love them . Oh ! I will try them now . Thanks for the tip . Your welcome . ;I am fine;;My blood sugar is okay ;okay;;;;;;;;;;oatmeal cookies;;;;;;;;;;;;
Hello , how are you feeling ? I am very good ! How are your glucose levels ? My blood sugar is okay . Perfect ! I am hungry ! What should I eat ? You should do some popcorn . It is a very healthy snack if it is homemade . Oh ! I didn't know . I will eat that now . Thanks . No problem . Have a nice day . ;I am very good;;My blood sugar is okay;okay;;;;;;;;;;popcorn;;;;;;;;;;;;
Hey ! How have you been ? I am great ! I just finished my classes . Oh ! How is your blood sugar ? I am a little low , I need something to eat . You should eat some fruit . Strawberries or blueberries are good for a little snack. I have some in the fridge , I will eat them now . Oh ! Perfect . Have a good day . ;I am great;;I am a little low;low;;;;;;;;;;Strawberries or blueberries;;;;;;;;;;;;
Hello , how are you doing ? I am okay . My glucose levels are normal . That is good to hear . I need some ideas . I have to cook a meal for tomorrow and I need something that don't increase my glucose . You should cook some some vegetables as green beans or cabbage with fish . Your guest will love it and you won't have any problem . Ok ! Thanks for the advise . I have to go , see you . ;I am okay;;My glucose levels are normal;normal;;;;;;;;;;vegetables as green beans or cabbage with fish;;;;;;;;;;;;
Hello ! How are you feeling today ? I am fine . Thanks . How are your glucose levels ? Right now , my glucose is okay . I need your help ! I don't know what to cook today . You could do a broccoli soup and a blue fish . It is very healthy . Ok , thanks for the menu . You're welcome . Have a nice weekend. You too . ;I am fine;;my glucose is okay;okay;;;;;;;;;;broccoli soup and a blue fish;;;;;;;;;;;;
Good morning! How are you doing ? I am fine ! And my glucose levels are okay as well . Perfect . How can I help you ? I need some ideas . I am hungry but I cannot think about anything sugar-free for snacking . Have you ever eat some celery ? No ! I never thought about it . You should . It is very tasty . Ok , thanks . I will go buy some . Ok ! Have a nice day . You too . Bye . ;I am fine;;my glucose levels are okay;okay;;;;;;;;;;celery;;;;;;;;;;;;
Hello , how are you ? I am excited . Today I am going to the beach . Oh ! That is awesome . Do you love the beach ? Yes but it is a little difficult for me to eat something there and control my blood sugar levels . How are your glucose levels now ? My blood sugar is ok . Then you should take some nuts with you , they are good for snacking . Oh ! Fine . Remember to drink lots of water . Yes ! Thanks for your help . Anytime . Enjoy your beach day . Thanks !;I am excited;;My blood sugar is ok;ok;;;;take some nuts, drink water;;;;;;nuts;;;;;;;;;;;;
Good morning . Hey ! How are you doing ? I am very good . How have you been controlling your blood sugar ? More or less . My glucose levels are okay right now . That is good . I have a question . What snacks do you recommend ? I think that dark chocolate is a very good snack . Ok , thanks for your help . I am going to buy some . I have to go ! Have a nice day ! You too , goodbye !; I am very good ;;My glucose levels are okay;okay;;;;;;;;;;dark chocolate;;;;;;;;;;;;
Hello , how are you ? I am very sad . Yesterday my dog passed away . Oh , I am very sorry to hear that . I think it affected my glucose levels . It might be , strong emotions can alter your blood sugar . That is what I thought . I am very tired , I can't even walk . That might be an indicator . Did you check your glucose levels ? Yes, I am a little low these days . I haven't eaten much . I am sorry but you should try . Maybe a good homemade cake will help you . And cooking may help distract you . I will try , thanks for listening . Anytime . I am here for you . Good bye . ;I am very sad;; I am a little low these days;low;;;;eat a homemade cake;;; I am very tired , I can't even walk;;strong emotions can alter your blood sugar, I haven't eaten much;;;;;;;;;;;;;
Hi ! Hello ! I just need someone to talk to . Oh ! Are you ok ? No , I am very scared . Why ? My glucose levels are high , I tried changing my lifestyle and it doesn't get better . Don't worry . Do you follow a special diet ? Yes . Do you eliminate white flour foods of your diet ? Not all of them . Okay , you shouldn't eat any of them . They increase blood sugar . Ok . As for sport , do you do any physical activity ? I do yoga twice a week . That is good but I think you should introduce something more . Maybe a run three times a week ? Yes , I can do that . You will feel better with these little changes . Ok ! Thank you very much . Anytime . ;I am very scared;yoga twice a week , run three times a week;My glucose levels are high;high;;;;;eliminate white flour foods of your diet;;;;;;;;;;;;;;;;;
Hello . I need some advice . Of course . First of all , how are you doing ? I am good , thanks . And your glucose levels ? My blood sugar is alright as well . Perfect . And what do you need ? I need you to tell me what kind of food should I avoid ? You should definitely avoid rice , pasta and bread , all carbohydrates in general . Also all fats , they're bad for you . Ok , thanks . And how about fruits ? Bananas , watermelon , papaya , mango and grapes are not okay . Strawberries and blueberries are good . You can eat fruit but in moderation . Okay . Thanks for your help . ;I am good;;My blood sugar is alright;alright;;;rice , pasta and bread , all carbohydrates . Also all fats . Bananas , watermelon , papaya , mango and grapes;;;;;;;Strawberries and blueberries;;;;;;;;;;;;
Hello , how are you doing ? I am very good . Thanks . How are your glucose levels ? I am a little high . What are you thinking to do about it ? I don't know . What do you recommend ? I think maybe you should do some cycling . It is very good for controling your blood sugar . Thanks , I will go right now . Of course . Have a nice day . ;I am very good;cycling;I am a little high;high;;;;;do some cycling;;;;;;;;;;;;;;;;;
Hey , how are you ? I am not well . Is there something bothering you ? Yes , these past weeks my glucose levels have been high and I cannot decrease them . Did you eat something extraordinary ? No , same as usual . And did you do some physical activity ? Yes , I went for a 40 minutes run every day . Did you take your insulin dose as your doctor said ? Yes , of course . Then I think you should go talk to your doctor , maybe your dose is less than needed . Thank you very much for your advice .You're welcome . I have to go , bye .;I am not well;;my glucose levels have been high;high;;your dose is less than needed;;;;;;;;;;;;;;;;;;;;
Hi there . Good morning ! How are you doing ? I am great , thanks ! I am very excited . About what ? Next day I am travelling to visit my best friend . Oh ! Good ! And how are your blood sugar ? I am a bit low now , but I just ate a little cookie so I should be okay . That is good . I have to go now . Take care . You too . Have a nice day . ;I am great;;I am a bit low now;low;;;;ate a little cookie;;;;;;;;;;;;;;;;;;
Hello . Hey . How are you doing ? I am not okay … I feel terrible . What is going on ? I have a family lunch today and my blood sugar is high . I won't be able to eat anything . Don't worry ! Do you have time ? Yes , I have two hours . Perfect ! You need go do some physical activity . Can I go to the gym ? Of course , that is perfect . Ok , I have to go . Thank you very much . Enjoy your family dinner . Bye !;I am not okay … I feel terrible;go to the gym;my blood sugar is high;low;;;;;You need go do some physical activity;;;;;;;;;;;;;;;;;
