Dialogue,Mood,Sport,Glucose,Glucose_binary,Insulin,Insulin_dose,Bad_food,Remedies_low_glucose_level,Remedies_high_glucose_level,Glucose_checks,Symptoms_low_blood_sugar,Symptoms_high_blood_sugar,Risk_situation,Good_food
"Hello, I need your help. I don't feel well. Ok, what do you feel? I have a feeling of fainting and weakness. Have you checked your glucose levels? These are symptoms of low blood sugar. No, I haven't. My blood sugar levels are low. How can I improve them? You are afraid to eat some sugary fruits as papaya or mango. Okay, I'll. Thanks for your help. It means a lot. At any time.",i don't feel good,,my blood sugar levels are low,low,,,,eat some sugary fruits as papaya or mango,,,i have a fainting sensation and weakness,,,
"Hello, how are you? I'm okay. My glucose levels are normal. That's good to hear. I need some ideas. I need to cook a meal for tomorrow and I need something that will not increase my glucose. You should cook some vegetables as green beans or cabbage with fish. Your guest will love it and you will have no problem. Ok! Thanks for the advice. I have to go, see.",I am okay,,My glucose levels are normal,normal,,,,,,,,,,vegetables as green beans or cabbage with fish
Hello. I don't feel well and my glucose levels are a little high. Oh! I'm sorry to hear that. I think maybe you should inject some insulin before your next meal. Thanks for the tip. Anytime. Bye bye.,I don't feel good,,my glucose levels are a little high,high,,,,,inject some insulin before your next meal,,,,,
"Hello! I need your help. My legs are shaking and I feel very dizzy, I can't go. These are symptoms of a drop in blood sugar. Can you check your glucose levels? I only have and I'm very low. Don't worry. Eat some sugar or carbohydrates and you'll feel better. Thanks! I'll do it now.",,,I am very low,low,,,,Eat some sugar or carbohydrates,,,"My legs are trembling and I feel very dizzy , I cannot walk",,,
"Hello, how are you? I'm very good. Thank you. How are your glucose levels? I'm a little high. What do you think about doing about it? I don't know. What do you recommend? I think you should maybe do some cycling. It's very good for controlling your blood sugar. Thanks, I'll go right away. Of course. Have a nice day.",I am very good,cycling,I am a little high,high,,,,,do some cycling,,,,,
"Good morning. Hello! How are you? I'm not good. Why? My glucose levels are high. Have you eaten something special? Yes, yesterday was my birthday and I ate chocolate cake. Oh, you should inject an additional insulin dose. Ok, I'll do it. Thank you.",i'm not well,,my glucose levels are high,high,,,chocolate cake,,,,,,I ate chocolate cake,
"Hi, how do you feel today? I don't know, I feel dizzy. How are your glucose levels? I'm a little low. Try eating something with sugar. I thought about some natural yogurt. I think maybe a juice would be better. Ok, can I have a few cookies? Maybe one or two, but be careful with a glucose tip.",I don't know ,,I am a little low,low,,,cookies,eating something with sugar,,,i feel dizzy,,,
"Hello! Hello, how are you? I'm fine. What did you do today? I had a big family meal. There were lots of food. Oh! Have you checked your glucose? Yes, I tried. When was the last time you checked? Just when I finished eating. Maybe you should check again. Ok, I just did and I'm a little high. What should I do? If it's just a little, you should go for a walk or run a few miles. Ok, I'll walk. Thanks! You're welcome.",I am fine,go for a walk or run a couple of miles,I am a little high,high,,,,,go for a walk or run a couple of miles. drink water. ,,,,family meal,
"Hello, what's going on? I'm fine. What did you do today? I went to the mountain with my friends. That's great. Do you have your blood sugar control? Yes, I have a normal blood sugar level. That's cool! Don't forget to check it. Yes, I'll do it. Thanks.",i'm fine,hiking to the mountain,I have a normal blood sugar level,normal,,,,,,,,,,
"Hello, how are you? I'm fine, but I'm a little tired. How is that? Have you slept well last night? Yes, I did. I don't know why I'm sleepy. Maybe it has something to do with your glucose level. Have you checked it today? I just did and I'm a little high. What should I do? Take a walk or go for a run. It always help. Check again an hour after the exercise and if it's still high, inject some extra insulin. Ok, thank you for your help. You're welcome. Have a nice day. Thank you, too.",I am alright ,,I am a little high,high,,,,,Take a walk or go for a run,Check again one hour after the exercise,,I am a bit sleepy,,
"Hello, my glucose levels are pretty high today and I don't know how to improve them. Have you taken an additional dose of insulin? Yes, I did a few hours ago. Ok, go exercise as running or cycling. Okay, I'll go on a ride on the bike. Be careful because your glucose levels might fall. Yes, thank you. Bye bye.",,running or cycling . a ride on the bike,my glucose levels are quite high today,high,,,,,extra dose of insulin ,,,,,
"Hello, what's going on? I'm fine, but I have high glucose levels. What did you eat for lunch? I had pork with some vegetables and potatoes. Oh, potatoes are not good for diabetics. You should recalculate your insulin dose. Yes, I will consider lunch. Ok. Thank you for your help. You are welcome.",i'm fine,,i have high glucose levels,high,,i will take into account the lunch,I had pork with some vegetables and potatoes,,,,,,potatoes aren't good for diabetics,
"Hey! How have you been? I've been great! What are you going to do today? At the moment I've been thinking about baking a cake... I've got sweet cravings today. Oh, that may indicate that your glucose levels aren't right. Have you checked them? I just, my glucose levels are a little low. Ok, I think maybe after you eat a piece of your cake, you'll feel better. Yes? I didn't think that was because my glucose levels. Thanks for teaching. They're blecome. I have to go. Bye.",i have been great,,are a little bit low,low,,,,eat a piece of your cake,,,sweet cravings today,,,
"later. <SOS> <SOS> how do you feel today? great and you? I feel awful today. yesterday I had a big party and today I have a hangover. if you really feel bad you could take an ibuprofen? how was your party? it was great, we played some drinking games ate some pizzas and danced until morning. it sounds amazing. did you check your glucose during the party? no I checked it before going to bed and I was pretty high so I had to inject insulin. and what was your glucose level when you woke up? I was still high, but I should be fine. should you inject your slow action insulin? I should not really remember, however, if I injected during the party. that could explain why you woke up high. you should know with your doctor what you should do. yes I will. at least my hangover will do better. in any case. I hope you get better soon. thanks to <EOS>.",i feel horrible today .,,i was quite high.,high,i was quite high so i had to inject insulin .,,, eat a banana,,,,,,
"Hello, I have a terrible headache and some nausea. Could it be because of my sugar levels? Yes, it could be. How is your blood sugar? It's low. Ok, eat some sugar or a fructose pill. It will help you feel better. Ok, perfect! Thank you for your help. At any time. Speak tomorrow. Bye.",i have a terrible headache and some nausea,,it is low,low,,,,eat some sugar or a fructose pill,,, i have a terrible headache and some nausea,,,
"Hi, how are you? I'm okay. My glucose levels are fine. That's cool! How is that? I started Pilates last week. It seems to have helped control my diabetes. Oh, great! I'm happy for you. Thank you. I have to go now. Okay, see you then. Bye.",I am ok,pilates,My glucose levels are fine,fine,,,,,,,,,,
"Hello. Hello! How can I help you? I don't feel well. How are your glucose levels? I'm very high. Yesterday I ate more than usual and I haven't corrected my insulin dose. Don't worry, you can use fast action insulin now. It will help you. Ok, I'll. Next time try to calculate the dose more accurately. Of course! Thank you.",i don't feel good,,I am very high,high,,I didn't correct my insulin dose,,,use fast action insulin now,,,,I ate more than usual and I didn't correct my insulin dose,
"Hello. Hello! How are you? I'm fine. I'm new in this diabetic world. Oh! I hope I can help you. Sure! I have a question. My glucose is very high. When I'm finished eating, I need fruit for dessert, that's the most recommended? You can take raspberries and blueberries, they help control diabetes. Oh! Thank you. You are awesome. Thank you! Bye bye.",I am fine,,My glucose is very high,high,,,,,,,,,,raspberries and blueberries
"Hello, how are you? I don't feel well, I'm exhausted and I feel my legs heavy. Have you done something unusual to be tired of this? No, I did the same as usual. Maybe you have low blood sugar, have you checked it? I just got it right now, I have a low glucose level. That explains how you feel. Eat 5g sugar and you will feel better. Ok. Thank you.",I don't feel good ,,I have a low glucose level,low,,,,Eat 5g of sugar,,,i m exhausted and i feel my legs heavy,,,
"Hello there. Hello. How are you? I'm fine. How are your glucose levels? My blood sugar is good. It's controlled. And how is that? I started toning exercises in the gym. I assume it helped with your blood sugar. Yes, I feel better now. That's awesome. Stop it! Thank you!",I am fine,toning exercises at the gym,My blood sugar is well,well,,,,,,,,,,
"Good night. Hey, it's very late. What are you doing awake? I can't sleep. It's been a few hours since I went to bed and I don't know why I'm still up. Have you checked your glucose levels? Still, don't you think it has something to do with my feeling? Yes, definitely. Yours are right. My blood sugar is pretty low. Have you eaten something before you sleep? On the contrary, I took some insulin before you went to bed. I don't think you have correctly calculated the dose. Try something with carbohydrates. Maybe a cookie or some milk chocolate. Ok, I'll go now. Thanks for listening to me too at this late hours.",,,my blood glucose is quite low,low,,I think you didn't calculate correctly the dose,,Try eating something with carbohydrates . Maybe a cookie or some milk chocolate,,,I can't sleep,,,
"<SOS> <SOS> how are you? great I had a very good blood sugar level today. s nice keep it with a good glucose level is great. thank you, but it can rise this afternoon. why is that? because I just ate a big sandwich now. and did you have your insulin? yes but maybe it wasn't enough. then you should check your glucose in an hour and a half and correct the dose if necessary. thank you for your advice. no problem see <EOS>.",great,,very good blood glucose level today,good,did you put your insulin ? yes but maybe it was not enough ,then you should check your glucose in an hour and a half and correct the dose if necessary,it may rise this afternoon . why is that ? because i just ate a big sandwich now ,,,,,,ate a big sandwich,
"Hi, what's going on? I'm fine. I haven't been better. How's your blood sugar? It's a little low, but I think it can improve with the grapes I just ate. Yes, it can improve. Check your glucose levels again in an hour. Yes, I will. Bye, take care. Okay.",i'm fine,,It is bit low,low,,,,grapes,,Check your glucose levels again in one hour,,,,
"Hey, how are you? I'm fine, thank you. How are your glucose levels? My glucose levels are ok. Oh perfect! Have you changed something in your lifestyle? Yes, I started going to the gym. Great! And what do you do there? I do some strength exercises. That's cool. Do you feel better after your workout? Yes. And it helped control my blood sugar. Ok! Keep up. Yes, talk later.",I am fine,strength exercises in the gym,My glucose levels are ok,ok,,,,,,,,,,
"Hello! How are you? I'm not very good. I have a hangover. Oh! Have you drunk a lot last night? Yes, I went to a concert with my friends and I didn't control how alcohol I drank. Oh! Have you checked your blood sugar? Not yet. Maybe you should. Alcohol increases glucose levels. You're right! My glucose levels are quite high. What should I do? You need to inject an additional dose of insulin. And next time try to drink less. Yes! I absolutely do. Thanks for the advice. I have to go. Bye.",I am not very well,,My glucose levels are quite high,high,,,alcohol,,inject an extra dose of insulin,,,,Alcohol increases the glucose levels,
"Hello! How do you feel today? I'm very good. Great, I'm happy to hear that. How are your glucose levels? They're okay. I'm doing some gymnastics now and it seems to have helped control the glucose levels. I'm sure it's right. Just be careful with the glucose drops. Yes, I'll always have a juice with me in case it sinks. Very good. I have to go. Ok. Have a nice day. You too, Bye bye.",I am very good,gymnastics,they are okay,okay,,,,,,,,,,
"Hello. Hey! How are you? I don't feel well, I'm dizzy and my blood pressure is changed. Have you checked your glucose levels? No, but I will. Maybe you're a little low. Yes, that's it. I'm a little low. Don't worry, try to eat a piece of fruit and it should be better.",I don't feel good,,I am a bit low,low,,,,eat a piece of fruit,,,I am dizzy and my blood pressure is alterated,,,
"Hello! How do you feel? I feel great! I just came home after walking 10 miles. Wow! That's a lot of exercise. Be careful because your blood sugar can fall. I'm going to check my glucose levels at the moment. How are you? I'm a little low... maybe it will fall continuously if I don't do anything. Yes, try to eat a piece of fruit. Ok, I'll.",I am feeling great,walk 10 miles,I am a little low,low,,,,eat a piece of fruit,,,,,,
"Hey! What's going on? I'm very happy, I'm going to get married next week. Oh! Congratulations! And how do you feel? Great, I'm a little annoying, though, I eat a lot of candy these days. That's not good for you... Have you checked your glucose levels? No, should I? Yes, you must. It's important to control your glucose levels. I'm a little high. You should increase your insulin levels according to the amount of sugar you've taken. Ok. I'll be. I'll have to go. Okay, enjoy your day.",I am very happy,,I am a little high,high,,,,,increase your insulin levels according to the amount of sugar that you took,,,,eating a lot of sweets these days,
"Hello, how are you? I could be better... My legs are shaking. Oh, yeah? Have you checked your glucose levels? No, I didn't think it could be related. Yes, it can shake the reason for your leg. Ok, I checked and my glucose levels are a little low. That's what I thought. Drink some sugar water and you'll feel better. Ok, I'll. Thanks for everything!",i could be better,,are a little bit low,low,,,,drink some sugar water,,,my legs are trembling,,,
"Hello. Hey! How are you? I don't feel good these days. What do you feel? I have lack of focus and I can't concentrate in my exams. How are you glucose levels? I don't know. Can you check them? Yes, I just did it and I'm very low. That could explain your lack of focus. Drink a juice and try to keep your glucose levels in the right number and you'll feel better. Thank you! I'll try it. I have to go. Bye!",i am not feeling great these days,,i am very low,low,,,,drink a juice,,,i have lack of focus and i cannot concentrate in my examens,,,
"Hello. Oh! It's nice to talk to you again, how are you? I'm great, thank you. Have you checked your blood sugar? I don't think so. I urinate more often in the last days. Have you checked your glucose levels? Yes, I'm high. Oh, ok. Try for a walk and maybe you'll control it. Ok, thank you.",i am great,walk,I am high,high,,,,,going for a walk,,,I urinate more often these past days,,
"Good morning. I don't feel okay. Why is that? I ate rice for lunch and I took more carbohydrates than calculated for the insulin dose. Do you have any symptoms? I feel very thirsty. Please check your glucose levels. I already have and my glucose levels are high. Maybe you should inject insulin before your next meal. Okay, I'll. Thanks for the tip. You're welcome. Bye bye.",I don't feel okay,,,,,I took more carbohydrates than calculated for the insulin dose,,,inject insulin before your next meal,,,I feel very thirsty,I took more carbohydrates than calculated for the insulin dose,
"<SOS> <SOS> what's going on? i m very nervous. what's with you? i m fine. why are you so nervous? i have a very important exam this afternoon and i can't fail. did you study for your exam? yes i've studied, but i haven't been able to control my glucose lately. i'm afraid to be low during my exam. how's your blood sugar level now? it's good 92. but i don't know if it's going to reduce to my exam. maybe you could eat something with low carbs amount to increase a little blood sugar levels. yes i want to do this, but i don't know what to eat. maybe a small cookie or some fruit no more than 5g carbohydrates. big i eat a small banana then. enjoy your banana and lots of luck on your exam. thank you <EOS>.",,,it is good 92 .,good,,,,maybe you could eat something with low carbohydrates amount to raise a little bit your blood glucose . maybe a small biscuit or some fruit no more than 5g of carbohydrates . great i will eat a small banana then .,,,,,,
"Hello there, how are you? I don't feel good. I'm very tired because my glucose levels are high. Do you have something special today? Not at all, I was in bed all day, I have a cold. The lack of exercise could increase your blood sugar. But I can't do anything today, I feel really bad. Don't worry, I think today it's best to focus on correcting your insulin dose. How much should I take? I can't tell you that you should talk to your doctor.",i don't feel good,,my glucose levels are high,high,,,,,correct your insulin dose,,I am very tired,,The lack of exercise could increase your blood sugar,
"Hey! It's been a few days since we last talked. How have you been? I was great, but now I feel tired. Why is that? I don't know, maybe it's because I have low blood sugar levels. Yes, it could be. What should I do? You shoud eat something sweet, like candy or milk chocolate. Ok. I will.",i am feeling of tiredness,,i have low blood sugar levels,low,,,,"eat something sweet, as candy or milk chocolate",,,,,,
"Good night. Hey, how was your day? Great, thank you. How do you feel? I'm very tired. I think I dropped my glucose levels after injecting fast insulin. Have you checked it? I just, I'm very low. Oh... deep breathing and trying to eat a snack. It should help you. Ok, I'll. Thanks.",Great,,i am very low,low,,,,eat a snack,,,I am very tired,,injecting rapid insulin,
"<SOS> what are you doing right now? <SOS> I've just cooked lunch for today. what have you prepared? I've cooked a whole turkey in the oven with some potatoes. it sounds delicious. I suppose you're not going to eat an entire turkey alone? of course I'm not inviting my family for lunch. I hope you have a wonderful lunch. don't forget to inject a proper dose of insulin potatoes have a lot of carbohydrates. yes I've already thought about it so I can increase my insulin dose today. fantastic. don't forget to measure your blood sugar level one and a half hours after lunch. I'll set an alarm so I don't forget that. my family is coming, so I have to leave you now. enjoy your lunch with your family. <EOS>.",,,,,,don t forget to inject a correct dose of insulin potatoes have a lot of carbohydrates .,i cooked a whole turkey in the oven with some potatoes .,,,don t forget to measure your blood glucose level one hour and a half after your lunch . ,,,potatoes have a lot of carbohydrates,
"Hey, I need to talk to you. I don't feel good. What have you got? I feel physical weakness... How are your blood sugar levels? I'm very low, but I don't know how to improve them. Have you eaten something? Yes, I ate some ham. Oh, you better eat some carbohydrates than bread or pasta. Okay, I'll have some bread. Thank you. You're welcome.",i don't feel great,,I am very low,low,,,,eat some carbohydrates as bread or pasta,,,I feel physical weakness,,,
"Good morning. Hey! How are you? I'm very good. How do you control your blood sugar? More or less. My glucose levels are fine now. That's good. I have a question. What snacks do you recommend? I think that dark chocolate is a very good snack. Ok, thank you for your help. I'll buy some. I have to go! Have a nice day! You too, Goodbye!", I am very good ,,My glucose levels are okay,okay,,,,,,,,,,dark chocolate
"Hello! How are you? I'm in a really bad mood. Has something bad happened to you? No, nothing. You should check your blood sugar. I'm low. I've been low all day. So your bad mood could be because of this. I'm not able to keep the glucose level ok. You should ask your doctor... maybe take too much insulin. Oh. Okay, thank you for the advice.",I am in a really bad mood,,I am low,low,,you are taking to much insulin,,,,,I am in a really bad mood,,you are taking to much insulin,
